one_month_accumulative,three_month_accumulative,"""zhima_score_num""","""anti_risk_score""",d0,d1,d7,d14,d30
4.0,15.0,708,17.0,0,0,0,0,0
14.0,35.0,624,35.0,0,0,0,0,0
4.0,20.0,652,26.0,1,1,1,1,1
1.0,9.0,575,35.0,1,0,0,0,0
0.0,12.0,619,49.0,1,1,1,1,1
4.0,12.0,596,12.0,1,0,0,0,0
21.0,50.0,630,57.0,0,0,0,0,0
10.0,17.0,592,24.0,1,1,1,1,1
14.0,28.0,559,23.0,0,0,0,0,0
5.0,6.0,664,14.0,0,0,0,0,0
1.0,4.0,629,18.0,1,0,0,0,0
7.0,22.0,634,10.0,0,0,0,0,0
3.0,6.0,579,29.0,0,0,0,0,0
16.0,33.0,667,8.0,0,0,0,0,0
0.0,2.0,553,56.0,1,0,0,0,0
0.0,0.0,562,17.0,1,1,0,0,0
3.0,6.0,598,14.0,0,0,0,0,0
4.0,18.0,575,10.0,1,0,0,0,0
25.0,49.0,684,6.0,0,0,0,0,0
0.0,15.0,609,37.0,1,0,0,0,0
2.0,8.0,663,13.0,0,0,0,0,0
1.0,16.0,627,14.0,0,0,0,0,0
7.0,41.0,679,5.0,0,0,0,0,0
5.0,21.0,600,5.0,1,0,0,0,0
0.0,21.0,581,12.0,1,0,0,0,0
3.0,12.0,571,6.0,1,1,0,0,0
1.0,14.0,599,1.0,1,0,0,0,0
18.0,37.0,599,38.0,1,1,1,1,1
1.0,11.0,600,5.0,0,0,0,0,0
5.0,20.0,602,12.0,0,0,0,0,0
2.0,16.0,596,8.0,1,1,0,0,0
9.0,26.0,633,8.0,0,0,0,0,0
10.0,36.0,601,16.0,1,1,1,1,1
0.0,9.0,582,64.0,0,0,0,0,0
0.0,3.0,550,24.0,1,1,1,1,1
17.0,44.0,594,16.0,0,0,0,0,0
0.0,5.0,563,22.0,1,0,0,0,0
1.0,17.0,700,62.0,1,1,1,0,0
0.0,6.0,614,47.0,1,1,1,1,1
1.0,5.0,569,28.0,0,0,0,0,0
2.0,9.0,624,6.0,0,0,0,0,0
5.0,18.0,614,12.0,0,0,0,0,0
0.0,12.0,632,21.0,1,1,0,0,0
6.0,16.0,642,6.0,1,0,0,0,0
8.0,25.0,644,6.0,0,0,0,0,0
0.0,1.0,550,40.0,1,1,1,1,1
9.0,30.0,606,2.0,1,0,0,0,0
0.0,3.0,585,20.0,0,0,0,0,0
4.0,9.0,590,47.0,0,0,0,0,0
9.0,13.0,584,4.0,0,0,0,0,0
4.0,18.0,586,59.0,1,1,1,1,1
7.0,14.0,667,11.0,1,0,0,0,0
0.0,3.0,585,30.0,0,0,0,0,0
0.0,4.0,551,23.0,1,1,1,1,1
1.0,2.0,619,21.0,0,0,0,0,0
1.0,6.0,550,16.0,0,0,0,0,0
5.0,15.0,560,6.0,0,0,0,0,0
0.0,7.0,616,60.0,1,1,1,1,1
5.0,13.0,672,10.0,0,0,0,0,0
3.0,15.0,578,32.0,0,0,0,0,0
0.0,0.0,567,9.0,1,0,0,0,0
5.0,12.0,626,24.0,0,0,0,0,0
0.0,2.0,605,16.0,1,1,0,0,0
0.0,5.0,568,40.0,0,0,0,0,0
1.0,5.0,678,4.0,1,0,0,0,0
1.0,15.0,602,7.0,0,0,0,0,0
26.0,31.0,671,10.0,0,0,0,0,0
0.0,11.0,615,20.0,1,0,0,0,0
0.0,5.0,589,9.0,1,0,0,0,0
13.0,19.0,605,46.0,0,0,0,0,0
1.0,13.0,632,41.0,0,0,0,0,0
3.0,13.0,652,27.0,0,0,0,0,0
0.0,15.0,620,17.0,1,1,1,1,1
0.0,6.0,664,9.0,1,1,1,1,1
1.0,17.0,584,13.0,1,1,1,1,1
2.0,25.0,593,57.0,1,1,1,1,1
10.0,35.0,603,5.0,0,0,0,0,0
10.0,23.0,584,32.0,0,0,0,0,0
0.0,1.0,587,5.0,0,0,0,0,0
3.0,16.0,570,3.0,0,0,0,0,0
0.0,0.0,577,42.0,0,0,0,0,0
1.0,8.0,579,18.0,0,0,0,0,0
0.0,11.0,552,22.0,1,1,1,1,1
11.0,13.0,616,10.0,1,1,1,1,0
3.0,15.0,611,50.0,0,0,0,0,0
10.0,41.0,589,34.0,1,1,1,1,1
28.0,61.0,654,7.0,0,0,0,0,0
7.0,23.0,577,15.0,0,0,0,0,0
0.0,11.0,623,0.0,0,0,0,0,0
5.0,17.0,741,4.0,0,0,0,0,0
4.0,7.0,598,15.0,0,0,0,0,0
18.0,35.0,670,13.0,0,0,0,0,0
0.0,21.0,554,33.0,1,1,1,1,1
8.0,11.0,585,10.0,0,0,0,0,0
4.0,14.0,576,9.0,1,0,0,0,0
1.0,8.0,576,8.0,1,0,0,0,0
5.0,36.0,642,8.0,0,0,0,0,0
4.0,7.0,569,7.0,0,0,0,0,0
0.0,13.0,594,6.0,0,0,0,0,0
7.0,19.0,608,24.0,0,0,0,0,0
